Pregunta,Respuesta
"¿Cómo se integra el voluntariado con otros aspectos del currículo en UTEC?","El voluntariado se integra como una extensión práctica de los aprendizajes teóricos, proporcionando una experiencia de aprendizaje integral."
"¿Hay algún límite de horas de voluntariado que un estudiante pueda realizar por ciclo?","No hay un límite máximo establecido, pero se debe cumplir con un mínimo de horas por ciclo."
"¿Qué responsabilidades tienen los estudiantes al participar en el voluntariado?","Los estudiantes deben cumplir con las horas establecidas, seguir las directrices del CIRSO y actuar de acuerdo con los valores de la UTEC."
"¿Cuál es el objetivo del Reglamento del PRODAC?","El objetivo del Reglamento es regular los aspectos generales del funcionamiento del Programa Deportivo de Alta Competencia en la Universidad de Ingeniería y Tecnología."
"¿Quiénes deben cumplir obligatoriamente con el Reglamento del PRODAC?","Es de cumplimiento obligatorio para los estudiantes participantes del PRODAC, el personal administrativo y las autoridades de UTEC, quienes deben velar por su estricto respeto."
"¿Qué significa 'Ciclo Académico' según el reglamento del PRODAC?","Ciclo Académico se refiere al periodo académico de clases de 16 semanas, estableciéndose dos periodos académicos regulares cada año."
"¿Qué apoyo ofrece el PRODAC a los estudiantes deportistas?","El PRODAC incluye orientación técnica, infraestructura y equipamiento deportivo, y un sistema de tutoría para garantizar el rendimiento académico de los estudiantes participantes."
"¿Cuáles son las disciplinas deportivas que forman parte del PRODAC?","Las disciplinas deportivas del PRODAC incluyen Karate, Taekwondo, Judo y E-Sports."
"¿Cómo se seleccionan los estudiantes para participar en el PRODAC?","Los estudiantes regulares son convocados y seleccionados por UTEC, incluyendo deportistas calificados y calificados de alto rendimiento certificados por el Instituto Peruano de Deportes."
"¿Qué derechos tienen los estudiantes participantes en el PRODAC?","Los estudiantes tienen derecho a prioridad de matrícula, permisos especiales de asistencia, rendir exámenes en fechas diferentes y reconocimiento público por logros alcanzados."
"¿Cuáles son los deberes de los estudiantes en el PRODAC?","Deben cumplir con los reglamentos y normas de UTEC, aprobar un mínimo del 70% de asignaturas, no desaprobar una asignatura por segunda vez, y mantener un rendimiento deportivo adecuado."
"¿Qué tipos de becas ofrece el PRODAC?","PRODAC ofrece becas parciales, totales y totales especiales, que cubren diferentes porcentajes de los costos de matrícula, pensiones y otros gastos."
"¿Cuáles son los requisitos para obtener una beca parcial en el PRODAC?","Para obtener una beca parcial, los estudiantes deben cumplir con asistencia a entrenamientos, asistir a competencias, ubicarse en el quinto superior de su carrera y tener créditos académicos aprobados."
"¿Cómo se pierde la beca en el PRODAC?","La beca se pierde si el estudiante desaprueba asignaturas, recibe sanciones disciplinarias, omite o falsea datos, o abandona UTEC."
"¿En qué consiste la tutoría del PRODAC?","La tutoría ayuda a los estudiantes a ponerse al día en asignaturas perdidas por entrenamientos o competencias, preparar exámenes y trabajos, y asistir a talleres motivacionales."
"¿Qué tipos de infracciones pueden cometer los estudiantes del PRODAC?","Las infracciones pueden ser leves, graves o muy graves, dependiendo de la naturaleza y gravedad de la conducta del estudiante."
"¿Qué consecuencias enfrentan los estudiantes por infracciones graves en el PRODAC?","Las infracciones graves pueden resultar en la suspensión temporal o definitiva de los beneficios recibidos como estudiante del PRODAC."
"¿Cómo se aplican las sanciones en el PRODAC?","Las sanciones se aplican por el Decano de la Facultad o el Director General de UTEC, basándose en un informe del Coordinador del PRODAC."
"¿Qué responsabilidades tienen los entrenadores en el PRODAC?","Los entrenadores del PRODAC son responsables de la preparación técnica, el seguimiento del progreso deportivo y la orientación deportiva de los estudiantes."
"¿Qué tipos de eventos deportivos organiza o en los que participa el PRODAC?","El PRODAC organiza y participa en competencias locales, nacionales e internacionales, así como en eventos de promoción deportiva y talleres."
"¿Cómo se gestiona la nutrición y la salud de los atletas en el PRODAC?","La nutrición y salud de los atletas en el PRODAC se gestionan a través de programas de alimentación balanceada y seguimiento médico regular."
"¿De qué manera contribuye el PRODAC al desarrollo personal de los estudiantes?","El PRODAC contribuye al desarrollo personal fomentando valores como la disciplina, el trabajo en equipo, la perseverancia y la gestión del tiempo."
"¿Qué tipo de asesoría psicológica se ofrece a los estudiantes en el PRODAC?","Los estudiantes del PRODAC tienen acceso a asesoría psicológica para manejar la presión competitiva, mejorar su rendimiento y mantener un bienestar mental."
"¿Cómo se promueve la participación de la comunidad UTEC en las actividades del PRODAC?","Se promueve la participación de la comunidad UTEC a través de campañas de sensibilización, eventos abiertos y fomento del espíritu deportivo."
"¿Qué medidas toma el PRODAC para prevenir el dopaje?","El PRODAC toma medidas estrictas para prevenir el dopaje, incluyendo educación sobre los riesgos y controles antidopaje regulares."
"¿Cómo se manejan los conflictos entre estudiantes y personal del PRODAC?","Los conflictos se manejan a través de mediación y resolución de conflictos, buscando siempre el diálogo y la comprensión mutua."
"¿Qué papel juega la comunidad universitaria en el apoyo a los atletas del PRODAC?","La comunidad universitaria juega un papel importante en el apoyo a los atletas, brindando reconocimiento, aliento y participando en eventos deportivos."
"¿Cuál es el objetivo del Reglamento de la Defensoría Universitaria de la UTEC?","El Reglamento tiene como finalidad formar una conciencia y cultura de derechos y respeto a las normas que garantizan igualdad y justicia para todos los miembros de la comunidad universitaria de la UTEC."
"¿A quiénes se aplica el Reglamento de la Defensoría Universitaria?","El Reglamento se aplica a los miembros de la comunidad universitaria: estudiantes, administrativos, docentes, apoyos de docentes e investigadores de UTEC, dentro y fuera del campus."
"¿Qué se entiende por 'Administrativos' según el Reglamento?","Administrativos son el personal no docente que ejecuta la gestión administrativa de UTEC."
"¿Quiénes son considerados 'Apoyo docente' en UTEC?","Apoyo docente incluye a asistentes de enseñanza, técnicos de laboratorio, responsables de laboratorio y ayudantes de cátedra o laboratorio, entre otros establecidos en el Reglamento Docente de UTEC."
"¿Cómo se define a los 'Estudiantes' en el Reglamento?","Los estudiantes son alumnos matriculados en UTEC, ya sean regulares o no, y que se encuentren bajo modalidad presencial, semipresencial o a distancia."
"¿Qué funciones tiene el Defensor Universitario según el Reglamento?","El Defensor Universitario tiene la función de velar por el respeto a los derechos de los miembros de la comunidad universitaria, promover la solución de conflictos y supervisar la correcta aplicación de las normas universitarias."
"¿Cómo se elige al Defensor Universitario en la UTEC?","El Defensor Universitario es elegido por el Consejo Universitario, de una terna propuesta por el Rector, y su mandato dura tres años, pudiendo ser reelegido."
"¿Qué requisitos debe cumplir el Defensor Universitario?","El Defensor Universitario debe ser una persona de reconocida solvencia moral, con grado de magíster o doctor, y tener experiencia en temas relacionados con derechos humanos o defensoría."
"¿Cuál es el procedimiento para presentar una queja ante la Defensoría Universitaria?","Las quejas se presentan por escrito ante la Defensoría Universitaria, especificando los hechos y las pruebas. El Defensor Universitario debe acusar recibo y resolver en un plazo no mayor a 30 días hábiles."
"¿Qué ocurre si el Defensor Universitario incumple sus funciones?","En caso de incumplimiento de sus funciones, el Defensor Universitario puede ser removido por el Consejo Universitario, previa evaluación y recomendación del Rector."
"¿Cuáles son las obligaciones de los miembros de la comunidad universitaria según el Reglamento?","Las obligaciones incluyen respetar los derechos humanos, las normas universitarias y los principios éticos, y colaborar con el Defensor Universitario en sus investigaciones."
"¿Qué tipo de acciones pueden reportarse a la Defensoría Universitaria?","Se pueden reportar acciones que violen los derechos de los miembros de la comunidad universitaria o que vayan en contra de las normas y principios de la UTEC."
"¿Cómo se garantiza la confidencialidad en los procesos de la Defensoría Universitaria?","La Defensoría garantiza la confidencialidad y reserva de la información durante sus procesos, protegiendo la identidad de los involucrados."
"¿Qué sucede si hay un conflicto de intereses con el Defensor Universitario?","En caso de conflicto de intereses, el Defensor debe abstenerse de intervenir y el Consejo Universitario designará un defensor ad hoc."
"¿Qué recursos tiene el Defensor Universitario para cumplir sus funciones?","El Defensor Universitario cuenta con los recursos humanos, materiales y financieros asignados por la UTEC para el cumplimiento de sus funciones."
"¿Cuál es el proceso de remoción del Defensor Universitario?","El proceso de remoción se inicia por solicitud del Rector o un tercio de los miembros del Consejo Universitario, y requiere la aprobación de la mayoría del Consejo."
"¿Cómo se manejan las quejas contra el Defensor Universitario?","Las quejas contra el Defensor Universitario se presentan ante el Rector, quien las evaluará y, de ser necesario, las elevará al Consejo Universitario."
"¿Qué papel juega el Rector en el procedimiento de remoción del Defensor?","El Rector puede iniciar el procedimiento de remoción y debe evaluar las quejas contra el Defensor antes de elevarlas al Consejo Universitario."
"¿Qué responsabilidades tiene el Consejo Universitario respecto al Defensor Universitario?","El Consejo Universitario es responsable de elegir y, en su caso, remover al Defensor Universitario, así como de evaluar su desempeño."
"¿Qué medidas se toman si se violan los principios éticos en la UTEC?","Las violaciones a los principios éticos son investigadas y sancionadas según las normativas internas de la UTEC, con la posibilidad de intervención del Defensor Universitario."
"¿Cómo se resuelven los conflictos de interpretación del Reglamento?","Los conflictos de interpretación del Reglamento son resueltos por el Consejo Universitario."
"¿Qué procedimientos deben seguirse para modificar el Reglamento?","Las modificaciones al Reglamento requieren la aprobación del Consejo Universitario y deben seguir los procedimientos establecidos en la normativa universitaria."
"¿Cuál es la función del Consejo Universitario en relación con la Defensoría?","El Consejo Universitario supervisa la gestión de la Defensoría, aprueba su presupuesto y evalúa el informe anual del Defensor Universitario."
"¿Cómo se promueve la transparencia en la gestión de la Defensoría?","La transparencia se promueve mediante la publicación del informe anual de actividades de la Defensoría y el acceso a información relevante por parte de la comunidad universitaria."
"¿Qué papel juegan los estudiantes en la Defensoría Universitaria?","Los estudiantes pueden presentar quejas, sugerencias y participar en encuestas para mejorar el servicio de la Defensoría."
"¿Cómo se asegura la imparcialidad del Defensor Universitario?","La imparcialidad se asegura mediante la independencia funcional y administrativa del Defensor Universitario respecto a otras autoridades de la UTEC."
"¿Qué tipo de informes debe presentar el Defensor Universitario?","El Defensor Universitario debe presentar informes anuales de gestión y otros informes solicitados por el Consejo Universitario o el Rector."
"¿Cómo se manejan las emergencias o situaciones críticas en la UTEC?","Las emergencias o situaciones críticas son manejadas por el Comité de Crisis, con la posible intervención del Defensor Universitario para asegurar el respeto a los derechos."
"¿Qué medidas preventivas se promueven en la UTEC?","Se promueven medidas de prevención de conflictos, respeto a los derechos y fomento de la cultura de paz y diálogo."
"¿Cómo se fomenta la cultura de derechos en la UTEC?","La cultura de derechos se fomenta a través de actividades formativas, campañas de sensibilización y la promoción de buenas prácticas universitarias."
"¿Cuál es el propósito del reglamento presentado en el documento?","El reglamento define y regula el nivel de suficiencia en el idioma inglés que deben acreditar los estudiantes de pregrado de UTEC para avanzar en su plan de estudios y tener la condición de egresado."
"¿A quién aplica el reglamento de suficiencia en inglés?","Es de cumplimiento obligatorio para los estudiantes de pregrado, profesores, personal administrativo y autoridades de UTEC, quienes además deben velar por su estricto respeto."
"¿Qué es el 'Programa de Inglés TECSUP' mencionado en el reglamento?","Es un curso de inglés dictado por el Instituto TECSUP, con quien UTEC tiene un convenio."
"¿Cuál es la oficina responsable de la acreditación del nivel de suficiencia en inglés?","La Oficina de Internacionalización es responsable de la acreditación del nivel de suficiencia en inglés y su comunicación a las oficinas o direcciones pertinentes."
"¿Cuál es el requisito general de suficiencia en inglés para los estudiantes de pregrado?","Los estudiantes deben adquirir progresivamente la lengua según los niveles de competencia del Marco Común Europeo de Referencia para las lenguas (CEFR) para obtener la condición de egresado."
"¿Qué sucede si un estudiante no acredita el nivel B1 de inglés al aprobar 100 créditos académicos?","El estudiante se encontrará en situación de bloqueo y no podrá matricularse en asignaturas durante el siguiente semestre, a menos que esté matriculado activamente en un programa de inglés aceptado por UTEC."
"¿Cómo puede un estudiante acreditar la suficiencia en inglés para programas académicos internacionales en UTEC?","Debe acreditar un nivel mínimo de B2 (CEFR) en inglés al aprobar 100 créditos académicos para participar en carreras internacionales, oportunidades globales y programas de intercambio estudiantil."
"¿Qué sucede si un estudiante no acredita el nivel B2 de inglés al completar su plan de estudios?","Si un estudiante no acredita el nivel B2 al completar su plan de estudios, no podrá cumplir con su plan y alcanzar la condición de egresado de pregrado. Para poder egresar, deberá acreditar el nivel de idioma inglés con cualquiera de las modalidades descritas en el artículo 8."
"¿Qué nivel de inglés se requiere para participar en programas académicos internacionales en UTEC?","Para participar en programas académicos internacionales, el estudiante debe acreditar una suficiencia en el idioma inglés de nivel B2 (CEFR) como mínimo al aprobar 100 créditos académicos."
"¿Cuáles son las modalidades de acreditación de suficiencia en inglés en UTEC?","Las modalidades de acreditación incluyen presentar un certificado de exámenes internacionales de inglés como IELTS, TOEFL, Cambridge English, tener un diploma de Bachillerato Internacional en Language A o B, o aprobar ciertos módulos del programa de inglés TECSUP."
"¿Qué puntajes se requieren en los exámenes IELTS, TOEFL y Cambridge English para acreditar los niveles B1, B2 y C1?","Para el nivel B1, se requieren puntajes de 48 en TOEFL iBT, 460 en TOEFL iTP, o 4.5 en IELTS. Para B2, se requieren 80 en TOEFL iBT, 550 en TOEFL iTP, o 6.5 en IELTS. Y para C1, se necesitan 92 en TOEFL iBT, 580 en TOEFL iTP, o 7.0 en IELTS."
"¿Qué puntaje mínimo se requiere en el Bachillerato Internacional para acreditar el nivel B2 de inglés?","Se requiere un puntaje mínimo de 4 en Language A o Language B del Bachillerato Internacional para acreditar el nivel B2."
"¿Cuál es el módulo necesario en el programa de inglés TECSUP para acreditar el nivel B1 de inglés?","Para acreditar el nivel B1 en inglés, se debe aprobar el módulo 9 del programa de inglés TECSUP."
"¿Cuál es el módulo necesario en el programa de inglés TECSUP para acreditar el nivel B2 de inglés?","Para acreditar el nivel B2 en inglés, se debe aprobar el módulo 16 del programa de inglés TECSUP."
"¿Qué validez tienen los resultados de los exámenes internacionales de inglés para la acreditación en UTEC?","Los resultados de los exámenes internacionales de inglés son válidos por un período de hasta 2 años para la acreditación en UTEC."
"¿A partir de qué malla curricular aplica el reglamento de suficiencia en inglés?","El reglamento aplica para los estudiantes de la malla curricular 2021-1 en adelante."
"¿Cuándo entró en vigencia el reglamento de suficiencia en inglés?","El reglamento de suficiencia en inglés entró en vigencia desde el 14 de marzo de 2022."
"¿Dónde deben presentarse las solicitudes de acreditación de suficiencia del idioma inglés?","Las solicitudes de acreditación deben presentarse en la Oficina del Counter de Alumnos de Servicios Académicos de UTEC."
"¿Cómo se resuelven las situaciones no previstas en el reglamento de suficiencia en inglés?","Las situaciones no previstas y los conflictos de interpretación del reglamento serán resueltas por la Jefa de la Oficina de Internacionalización de UTEC."
"¿Qué requisitos se establecen para los estudiantes que deseen desarrollar una carrera internacional en UTEC?","Los estudiantes deben acreditar una suficiencia en el idioma inglés de nivel B2 (CEFR) al aprobar 100 créditos académicos para participar en programas internacionales, proyectos e intercambios estudiantiles."
"¿Cuál es el nivel de inglés necesario para matricular asignaturas en inglés como parte del plan de estudios de UTEC?","Los estudiantes deben acreditar una suficiencia en el idioma inglés de nivel B2 (CEFR) para matricular asignaturas dictadas en inglés en UTEC."
"¿Qué nivel de inglés se requiere para postular a programas de doble grado o grado consecutivo internacional?","Para postular a programas académicos de doble grado o grado consecutivo internacional, se requiere acreditar un nivel C1 (CEFR) en inglés."
"¿Qué disposiciones se aplican a los estudiantes de la malla curricular 2021-1 en adelante en relación con el requisito de inglés?","Las disposiciones del reglamento aplican a los estudiantes de la malla curricular 2021-1 en adelante, quienes son responsables de cumplir con todos los requisitos exigidos para el idioma inglés."
"¿Cuándo entró en vigencia el presente reglamento de suficiencia en inglés?","El reglamento de suficiencia en inglés entró en vigencia desde el 14 de marzo de 2022."
"¿Dónde deben presentarse las solicitudes de acreditación de suficiencia del idioma inglés?","Las solicitudes de acreditación de suficiencia del idioma inglés deben presentarse en la Oficina del Counter de Alumnos de Servicios Académicos de UTEC."
"¿Cómo se comunicarán las modificaciones al reglamento de suficiencia en inglés?","Las modificaciones al reglamento serán comunicadas a los estudiantes y egresados a través del sistema virtual que UTEC considere pertinente."
"¿Quién resolverá las situaciones no previstas en el reglamento de suficiencia en inglés?","Las situaciones no previstas y los conflictos de interpretación del reglamento serán resueltas por la Jefa de la Oficina de Internacionalización de UTEC."
"¿Qué validez tienen los resultados de exámenes internacionales de inglés para la acreditación en UTEC?","Los resultados de exámenes internacionales de inglés son válidos por un período de hasta 2 años para la acreditación en UTEC."
"¿Cuál es el puntaje requerido en el Bachillerato Internacional para acreditar el nivel B2 de inglés?","Se requiere un puntaje mínimo de 4 en Language A o Language B del Bachillerato Internacional para acreditar el nivel B2."
"¿Cuál es el objetivo del Protocolo de Hostigamiento Sexual de la UTEC?","El objetivo es brindar un ambiente de trabajo seguro, libre de violencia de género y hostigamiento sexual para el personal y la comunidad universitaria."
"¿Cómo define el protocolo el hostigamiento sexual?","El hostigamiento sexual se define como una conducta de naturaleza o connotación sexual o sexista no deseada que puede crear un ambiente hostil o afectar la situación laboral o formativa de la persona."
"¿Qué incluye la conducta sexista según el protocolo?","La conducta sexista incluye comportamientos o actos que refuerzan o promueven estereotipos de género, suponiendo la subordinación de un sexo o género respecto del otro."
"¿Qué tipos de actos de hostigamiento sexual menciona el protocolo?","Incluye actos como promesas de beneficios a cambio de favores sexuales, amenazas, uso de términos sexuales o sexistas, comentarios sexistas, contacto físico inapropiado y violencia de género a través de recursos tecnológicos."
"¿Qué medidas de prevención implementará UTEC contra el hostigamiento sexual?","UTEC implementará medidas como la organización de espacios formativos, espacios de concientización, y la generación de material gráfico sobre el hostigamiento sexual."
"¿Cómo manejará UTEC las denuncias de hostigamiento sexual en línea?","UTEC tomará en cuenta si los ataques son identificables o no y si se manejan en plataformas controladas por UTEC, iniciando investigaciones y brindando apoyo psicológico según sea necesario."
"¿Qué ocurre si la denuncia de hostigamiento sexual involucra a personal de empresas tercerizadoras en UTEC?","UTEC recibirá la denuncia y, dependiendo de si el hostigador trabaja para UTEC o para una empresa externa, coordinará con la empresa respectiva para la investigación y las medidas de sanción."
"¿Qué responsabilidad tiene UTEC al reportar casos de hostigamiento sexual al Ministerio de Trabajo y Promoción del Empleo?","UTEC debe informar al MTPE sobre la recepción de la queja, el inicio de la investigación, la ejecución de medidas de protección y el resultado final del procedimiento."
"¿Cómo se manejan las denuncias anónimas de hostigamiento sexual en UTEC?","En caso de denuncias anónimas, UTEC recabará información preliminar para iniciar una investigación de oficio, siendo indispensable identificar al denunciado."
"¿Qué acciones inmediatas toma UTEC tras recibir una denuncia de hostigamiento sexual?","UTEC proporciona atención médica y psicológica a la víctima, traslada la queja al Comité correspondiente, ejecuta medidas de protección y notifica al MTPE sobre la denuncia."
"¿Qué acciones se toman en la etapa de investigación de hostigamiento sexual en UTEC?","Durante la etapa de investigación, el Comité encargado notifica a la parte denunciada, recoge sus descargos, y realiza investigaciones para determinar si los hechos constituyen hostigamiento sexual."
"¿Cómo se maneja la impugnación de decisiones en casos de hostigamiento sexual en UTEC?","Las partes involucradas pueden interponer un recurso de apelación contra la decisión de primera instancia, que será revisado por el Tribunal correspondiente en un plazo máximo de cinco días."
"¿Qué tipo de sanciones puede imponer UTEC en casos de hostigamiento sexual?","Las sanciones varían según la gravedad del caso e incluyen amonestación escrita, suspensión sin goce de haber, despido por causa justa, o medidas disciplinarias por parte de empresas proveedoras."
"¿Qué sucede cuando una parte denunciante o denunciada en un caso de hostigamiento sexual presta servicios para una empresa externa?","Si el hostigamiento involucra a personal de empresas externas, UTEC coordinará con estas empresas para la investigación y sanción, aplicando pautas especiales según quien sea el hostigador o la víctima."
"¿Qué medidas adicionales implementa UTEC para prevenir nuevos casos de hostigamiento sexual?","UTEC, a través del CHSL, identificará factores de riesgo y recomendará acciones para eliminarlos, siendo la implementación de estas recomendaciones responsabilidad del Comité de Diversidad e Inclusión y/o RRHH."
"¿Cómo aplica UTEC el protocolo en el ámbito educativo?","El protocolo en el ámbito educativo se aplica al personal docente, de apoyo a la docencia, autoridades, estudiantes y egresados de UTEC, con medidas específicas para cada grupo."
"¿Qué roles desempeña el Comité de Diversidad e Inclusión (CDI) en el ámbito educativo de UTEC?","El CDI en el ámbito educativo capacita al personal y estudiantes en prevención del hostigamiento sexual, difunde material didáctico, promueve campañas de prevención y recibe denuncias."
"¿Cuáles son los canales de denuncia para casos de hostigamiento sexual en el ámbito educativo en UTEC?","Los casos pueden denunciarse a través de la Defensoría Universitaria, el CDI, la Secretaría de Instrucción, o la Línea ética UTEC."
"¿Qué medidas de protección ofrece UTEC a las personas denunciantes en el ámbito educativo?","UTEC puede requerir que el denunciado cese toda comunicación con el denunciante, brindar apoyo académico, ofrecer soporte emocional, y en algunos casos suspender preventivamente al denunciado."
"¿Cómo se lleva a cabo la etapa de instrucción en casos de hostigamiento sexual en el ámbito educativo en UTEC?","La Secretaría de Instrucción investiga los hechos denunciados, emite un Informe Final de Instrucción, y envía este informe a la Comisión Disciplinaria para su resolución en primera instancia."
"¿Qué acciones toma la Secretaría de Instrucción al recibir una denuncia de hostigamiento sexual en el ámbito educativo?","La Secretaría de Instrucción brinda atención médica y psicológica a la víctima, dicta medidas de protección, y da inicio al proceso de investigación preliminar."
"¿Qué tipo de medidas de protección puede implementar la Secretaría de Instrucción en casos de hostigamiento sexual?","Medidas como cesar comunicación entre las partes, apoyo académico para la víctima, soporte emocional, y suspensión preventiva del denunciado si es necesario."
"¿Cuál es el procedimiento de la etapa de instrucción en casos de hostigamiento sexual en el ámbito educativo?","Incluye trasladar el informe inicial a las partes, recibir descargos del denunciado, investigar los hechos, y emitir un informe final de instrucción."
"¿Cómo aborda UTEC las denuncias anónimas de hostigamiento sexual?","En casos de denuncias anónimas, se recaba información preliminar para iniciar una investigación. Es indispensable identificar al denunciado."
"¿Qué rol juega el Tribunal de Diversidad e Inclusión Educativo en el protocolo de UTEC?","Este Tribunal resuelve de manera definitiva los recursos de apelación contra decisiones de primera instancia en casos de hostigamiento sexual en el ámbito educativo."
"¿Qué acciones inmediatas se toman en la etapa de investigación preliminar en el ámbito educativo?","Se informa a la víctima sobre sus derechos, se brinda atención médica y psicológica según sea necesario, y se dictan medidas de protección adecuadas."
"¿Qué ocurre después de emitir el Informe Final de Instrucción en casos de hostigamiento sexual en UTEC?","Una vez emitido, el Informe Final de Instrucción se envía a la Comisión Disciplinaria para su revisión y resolución en primera instancia."
"¿Cómo maneja UTEC los casos de hostigamiento sexual que involucran a personal de empresas externas?","UTEC coordina con las empresas para la investigación y sanción, aplicando pautas especiales según la relación de las partes involucradas con la universidad y la empresa."
"¿Qué tipo de formación deben tener los miembros de los órganos involucrados en la prevención y sanción del hostigamiento sexual?","Los miembros deben tener conocimientos básicos en derechos administrativos y formación en género para actuar eficazmente en casos de hostigamiento sexual."
"¿Qué sucede si una víctima o un denunciado en un caso de hostigamiento sexual deja la universidad?","UTEC continúa con el procedimiento hasta su conclusión, incluso si la presunta víctima o el denunciado dejan la universidad, para implementar medidas preventivas y sanciones."
"¿Cuál es el procedimiento para la etapa de sanción en casos de hostigamiento sexual en UTEC?","La etapa de sanción involucra el traslado del informe del CHSL a las partes, la recepción de alegatos y la emisión de una decisión coordinada con el director del área del denunciado."
"¿Qué implica la etapa de impugnación en el proceso de hostigamiento sexual en UTEC?","En esta etapa, las partes pueden apelar la decisión de primera instancia, la cual será revisada y resuelta por el Tribunal de Diversidad e Inclusión correspondiente."
"¿Cómo se clasifica el hostigamiento sexual en el protocolo de UTEC?","El hostigamiento sexual se clasifica en dos ámbitos: laboral y educativo, cada uno con procedimientos y órganos específicos para su manejo y resolución."
"¿Cuál es el ámbito de aplicación del protocolo en el contexto laboral en UTEC?","En el ámbito laboral, el protocolo se aplica a todos los trabajadores y beneficiarios de modalidades formativas de UTEC, incluyendo personal desplazado por contratos de tercerización."
"¿Quiénes integran el Comité de Intervención frente al Hostigamiento Sexual Laboral (CHSL) en UTEC?","El CHSL está conformado por cuatro miembros: dos representantes de los trabajadores y dos representantes del empleador."
"¿Cómo se presentan las denuncias de hostigamiento sexual en UTEC?","Las denuncias pueden presentarse de forma escrita o verbal ante Recursos Humanos, el Jefe Directo, algún miembro del CDI, o a través de la Línea Ética UTEC."
